azimuth_deg,horizon_angle_deg,horizon_distance_m,horizon_elevation_m
54.2,8.432905914270508,4700.0,1301.22998046875
54.300000000000004,8.459499010900705,4715.0,1305.699951171875
54.400000000000006,8.480303332783993,4715.0,1307.449951171875
54.5,8.503500998188354,4705.0,1307.9000244140625
54.6,8.520651899814531,4705.0,1309.3399658203125
54.7,8.536849045827969,4705.0,1310.699951171875
54.800000000000004,8.554712143352402,4705.0,1312.199951171875
54.900000000000006,8.570907849514663,4705.0,1313.56005859375
55.0,8.582932363319195,4705.0,1314.5699462890625
55.1,8.596030120715659,4705.0,1315.6700439453125
55.2,8.61769640449135,4705.0,1317.489990234375
55.300000000000004,8.640313361128788,4705.0,1319.3900146484375
55.400000000000006,8.66405843656969,4700.0,1320.6199951171875
55.5,8.687288630308824,4700.0,1322.5699462890625
55.6,8.714452919915919,4705.0,1325.6199951171875
55.7,8.737058222202156,4705.0,1327.52001953125
55.800000000000004,8.768054178107112,4710.0,1330.9000244140625
55.900000000000006,8.804975244677639,4705.0,1333.22998046875
56.0,8.836844506471346,4705.0,1335.9100341796875
56.1,8.874961686017594,4710.0,1339.9000244140625
56.2,8.90690240250585,4710.0,1342.5899658203125
56.300000000000004,8.940263446474027,4710.0,1345.4000244140625
56.400000000000006,8.983823591473302,4710.0,1349.0699462890625
56.5,9.014085239471406,4710.0,1351.6199951171875
56.6,9.039358304408951,4710.0,1353.75
56.7,9.060458419649775,4725.0,1357.9300537109375
56.800000000000004,9.069562516987565,4725.0,1358.699951171875
56.900000000000006,9.062586166621392,4725.0,1358.1099853515625
57.0,9.03832567236365,4720.0,1355.260009765625
57.1,8.980579594922498,4715.0,1349.5899658203125
57.2,8.929414282607295,4735.0,1348.4300537109375
57.300000000000004,8.873655587074238,4710.0,1339.7900390625
57.400000000000006,8.827249483949066,4750.0,1342.1199951171875
57.5,8.790851605010651,4750.0,1339.030029296875
57.6,8.750927323225824,4765.0,1337.9599609375
57.7,8.722030433444314,4765.0,1335.5
57.800000000000004,8.688493056085573,4775.0,1334.1800537109375
57.900000000000006,8.66111345949201,4780.0,1332.6099853515625
58.0,8.654636956523953,4795.0,1334.3499755859375
58.1,8.670052739033695,4795.0,1335.6700439453125
58.2,8.685850897669217,4800.0,1337.7900390625
58.300000000000004,8.702879682980775,4800.0,1339.25
58.400000000000006,8.708033242170762,4810.0,1341.22998046875
58.5,8.705356534461238,4810.0,1341.0
58.6,8.68941057643482,4810.0,1339.6300048828125
58.7,8.665951125454914,4815.0,1338.3800048828125
58.800000000000004,8.640063167822294,4825.0,1337.6800537109375
